ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:47"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide07_Bmarray_Subclasses_F635.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide07_US23502317_1003449801_S01_H_Flipped.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2640, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"B635 Median"	"B635 Mean"	"B635"	"B635 SD"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"	"F635 Median - B635"	"F635 Mean - B635"	"F635 Total Intensity"	"SNR 635"	"F635 CV"	"B635 CV"	"Index"
1	3	7	"Ng fr.41 1.56然"	"115"	3730	3130	100	8362	8365	311	8478	8521	8478	603	0	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-116	-113	16.610	-116	-113	669236	-0.259	3	7	57
1	4	7	"Lg fr. 17 0.1然"	"131"	3980	3140	100	8987	9031	511	9024	9061	9024	733	5	3	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-37	7	16.610	-37	7	722518	-0.041	5	8	58
1	5	7	"Lg fr. 17 0.1然"	"131"	4220	3140	100	9498	9429	446	9437	9495	9437	546	14	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	61	-8	16.610	61	-8	754281	-0.121	4	5	59
1	6	7	"Lg fr. 17 0.1然"	"131"	4470	3150	100	10081	10143	520	10011	10031	10011	521	16	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	70	132	16.610	70	132	811407	0.215	5	5	60
1	7	7	"Lg fr. 21 0.9然"	"147"	4720	3160	100	10204	10247	443	10299	10346	10299	518	10	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-95	-52	16.610	-95	-52	819799	-0.191	4	5	61
1	8	7	"Lg fr. 21 0.9然"	"147"	5030	3110	90	9988	10066	519	10087	10129	10087	628	12	2	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	52	415	100	0	0	0	-99	-21	16.610	-99	-21	523419	-0.100	5	6	62
1	9	7	"Lg fr. 21 0.9然"	"147"	5210	3170	100	9922	9936	487	9945	9987	9945	519	6	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	547	100	-50	0	0	-23	-9	16.610	-23	-9	794882	-0.098	4	5	63
1	1	8	"Ng fr.29 0.9然"	"130"	3240	3370	100	7722	7722	449	7680	7722	7680	688	8	0	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	42	42	16.610	42	42	617767	0.000	5	8	64
1	2	8	"Ng fr.29 0.9然"	"130"	3490	3370	100	8584	8650	510	8695	8752	8695	669	9	1	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	-111	-45	16.610	-111	-45	691988	-0.152	5	7	65
1	3	8	"Ng fr.29 0.9然"	"130"	3730	3380	100	9367	9418	713	9282	9342	9282	647	13	4	0	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	80	560	100	-50	0	0	85	136	16.610	85	136	753400	0.117	7	6	66
