ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/14 14:38:25"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Slide06_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-14\Images\Slide06_US23502317_1003449802_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=3110, 1440"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-50	0	0	1	7	6	"Lg fr. 35 0.1然"	"132"	4860	2870	100	60	62	14	22	62	62	64	22	34	3	1	0	4966	-0.091	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	0	-2	0	80	491	100	52
-50	0	0	1	8	6	"Lg fr. 35 0.1然"	"132"	5090	2870	100	63	64	9	14	63	63	64	13	20	13	0	0	5124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	489	100	53
-50	0	0	1	9	6	"Lg fr. 35 0.1然"	"132"	5330	2870	100	64	67	12	17	64	64	65	14	21	18	5	0	5349	0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	3	0	3	80	488	100	54
0	0	0	1	1	7	"Ng fr.41 1.56然"	"115"	3440	3160	40	66	70	19	27	56	56	58	13	22	33	33	0	843	0.923	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	10	14	10	14	12	68	100	55
-50	0	0	1	2	7	"Ng fr.41 1.56然"	"115"	3710	3140	100	46	47	8	17	54	54	55	12	21	1	0	0	3773	-0.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-8	-7	-8	-7	80	557	100	56
-50	0	0	1	3	7	"Ng fr.41 1.56然"	"115"	3940	3140	100	48	49	10	20	56	56	57	12	21	8	0	0	3904	-0.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-8	-7	-8	-7	80	557	100	57
-50	0	0	1	4	7	"Lg fr. 17 0.1然"	"131"	4180	3140	100	59	59	9	15	61	61	62	12	19	8	0	0	4735	-0.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-2	-2	-2	-2	80	557	100	58
-50	0	0	1	5	7	"Lg fr. 17 0.1然"	"131"	4410	3140	100	59	61	10	16	60	60	63	27	42	0	0	0	4860	-0.074	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	1	-1	1	80	560	100	59
-50	0	0	1	6	7	"Lg fr. 17 0.1然"	"131"	4650	3140	100	62	63	11	17	63	63	64	14	21	10	0	0	5055	-0.071	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	560	100	60
-50	0	0	1	7	7	"Lg fr. 21 0.9然"	"147"	4890	3150	100	65	64	10	15	64	64	66	16	24	6	0	0	5152	-0.125	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	1	0	1	0	80	557	100	61
-50	0	0	1	8	7	"Lg fr. 21 0.9然"	"147"	5120	3150	100	64	65	11	16	64	64	65	13	20	11	3	0	5183	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	62
-50	0	0	1	9	7	"Lg fr. 21 0.9然"	"147"	5360	3150	100	68	84	100	119	65	65	71	62	87	5	3	0	6729	0.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	3	19	3	19	80	554	100	63
0	0	0	1	1	8	"Ng fr.29 0.9然"	"130"	3500	3370	70	71	93	54	58	58	58	65	39	60	28	19	0	2971	0.718	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	13	35	13	35	32	236	100	64
-50	0	0	1	2	8	"Ng fr.29 0.9然"	"130"	3750	3350	100	46	47	9	19	53	53	54	12	22	4	0	0	3787	-0.583	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-7	-6	-7	-6	80	557	100	65
-50	0	0	1	3	8	"Ng fr.29 0.9然"	"130"	3980	3350	100	52	53	10	18	55	55	56	11	19	9	3	0	4239	-0.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	-2	-3	-2	80	557	100	66
-50	0	0	1	4	8	"Ng fr.33 2.5然"	"146"	4220	3350	100	53	52	10	19	59	59	60	16	26	1	0	0	4138	-0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-6	-7	-6	-7	80	557	100	67
-50	0	0	1	5	8	"Ng fr.33 2.5然"	"146"	4460	3360	100	61	60	10	16	59	59	61	22	36	4	0	0	4834	-0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	2	1	2	1	80	560	100	68
-50	0	0	1	6	8	"Ng fr.33 2.5然"	"146"	4700	3360	100	66	66	12	18	63	63	64	13	20	18	4	0	5271	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	3	3	3	3	80	560	100	69
-50	0	0	1	7	8	"Ng fr.37 4.3然"	"99"	4930	3360	100	61	62	11	17	64	64	65	14	21	5	1	0	4944	-0.214	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-3	-2	-3	-2	80	557	100	70
0	0	0	1	8	8	"Ng fr.37 4.3然"	"99"	5190	3350	40	76	86	31	36	65	65	67	10	14	50	42	0	1037	1.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	11	21	11	21	12	68	100	71
