ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/10 16:43:28"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_Bmarray_Subclasses_F532.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_US23502317_1003449802_S01_H_Flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2630, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Median - B532"	"F532 Mean - B532"	"Index"	"F532 Mean"	"F532 SD"	"B532 Median"	"B532 Mean"	"B532"	"B532 SD"	"% > B532+1SD"	"% > B532+2SD"	"F532 CV"	"B532 CV"	"F532 % Sat."	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"F532 Total Intensity"	"SNR 532"	"Rgn R2 (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Flags"	"Normalize"	"Autoflag"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"Log Ratio (635/532)"
1	9	7	"Lg fr. 21 0.9然"	"147"	4860	3160	100	52	-1	-1	63	52	7	53	54	53	10	8	3	13	18	0	0.000	0.000	0.000	0.000	0.000	0.000	4153	-0.200	0.000	80	560	100	-50	0	0	-1	-1	Error
1	1	8	"Ng fr.29 0.9然"	"130"	2870	3450	100	47	-1	-1	64	47	7	48	48	48	8	10	1	14	16	0	0.000	0.000	0.000	0.000	0.000	0.000	3754	-0.125	0.000	80	560	100	-50	0	0	-1	-1	Error
1	2	8	"Ng fr.29 0.9然"	"130"	3120	3440	100	44	-2	-1	65	45	7	46	46	46	8	8	3	15	17	0	0.000	0.000	0.000	0.000	0.000	0.000	3583	-0.125	0.000	80	560	100	-50	0	0	-2	-1	Error
1	3	8	"Ng fr.29 0.9然"	"130"	3370	3440	100	48	-1	0	66	49	8	49	49	49	7	18	3	16	14	0	0.000	0.000	0.000	0.000	0.000	0.000	3929	0.000	0.000	80	560	100	-50	0	0	-1	0	Error
1	4	8	"Ng fr.33 2.5然"	"146"	3620	3430	100	46	0	0	67	46	7	46	46	46	7	16	4	15	15	0	0.000	0.000	0.000	0.000	0.000	0.000	3697	0.000	0.000	80	560	100	-50	0	0	0	0	Error
1	5	8	"Ng fr.33 2.5然"	"146"	3870	3430	100	42	-3	-3	68	42	6	45	45	45	8	1	0	14	17	0	0.000	0.000	0.000	0.000	0.000	0.000	3347	-0.375	0.000	80	560	100	-50	0	0	-3	-3	Error
1	6	8	"Ng fr.33 2.5然"	"146"	4120	3420	100	47	-1	-1	69	47	7	48	49	48	12	6	0	14	24	0	0.000	0.000	0.000	0.000	0.000	0.000	3779	-0.167	0.000	80	560	100	-50	0	0	-1	-1	Error
1	7	8	"Ng fr.37 4.3然"	"99"	4370	3420	100	50	-1	0	70	51	8	51	51	51	7	15	5	15	13	0	0.000	0.000	0.000	0.000	0.000	0.000	4068	0.000	0.000	80	560	100	-50	0	0	-1	0	Error
1	8	8	"Ng fr.37 4.3然"	"99"	4620	3420	100	52	-2	0	71	54	15	54	57	54	14	5	1	27	24	0	0.000	0.000	0.000	0.000	0.000	0.000	4355	-0.214	0.000	80	560	100	-50	0	0	-2	0	Error
1	9	8	"Ng fr.37 4.3然"	"99"	4860	3410	100	53	-2	-2	72	53	7	55	55	55	8	6	0	13	14	0	0.000	0.000	0.000	0.000	0.000	0.000	4240	-0.250	0.000	80	560	100	-50	0	0	-2	-2	Error
1	1	9	"Ng fr.17 0.7然"	"145"	2880	3690	100	48	-1	-1	73	48	8	49	49	49	9	13	1	16	18	0	0.000	0.000	0.000	0.000	0.000	0.000	3874	-0.111	0.000	80	560	100	-50	0	0	-1	-1	Error
