ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2018/03/07 19:14:21"
"Settings=Z:\Laudine\Agilent Scanner Glycan Array\Sn10_after_treatment_100pct_IgG.gps"
"GalFile=C:\Users\lpetralia\Documents\R drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=Z:\Laudine\Agilent Scanner Glycan Array\2018.03.07\US23502317_1003449801_Sn10_AfterTreatment_10pct_flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2590, 1260"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-75	0	0	1	6	5	""	""	4150	2440	100	56	57	5	8	57	57	58	7	12	8	1	0	4553	-0.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	0	-1	0	80	560	100	42
-75	0	0	1	7	5	""	""	4400	2440	100	66	67	6	8	66	66	67	9	13	8	1	0	5337	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	43
-75	0	0	1	8	5	""	""	4640	2440	100	74	73	8	10	75	75	74	10	13	5	1	0	5837	-0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	-2	-1	-2	80	560	100	44
-75	0	0	1	9	5	""	""	4890	2440	100	86	86	7	8	87	87	88	9	10	4	0	0	6862	-0.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	-1	-1	-1	-1	80	560	100	45
0	0	0	1	1	6	"Lg fr. 26 0.1然"	"100"	2960	2700	50	110	111	14	12	32	32	34	7	20	100	100	0	1326	11.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	78	79	78	79	12	104	100	46
0	0	0	1	2	6	"Lg fr. 26 0.1然"	"100"	3190	2680	50	127	131	27	20	31	31	33	5	15	100	100	0	1567	19.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	96	100	96	100	12	104	100	47
0	0	0	1	3	6	"Lg fr. 26 0.1然"	"100"	3430	2680	50	120	122	11	9	33	33	35	7	20	100	100	0	1464	12.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	87	89	87	89	12	104	100	48
0	0	0	1	4	6	"Lg fr. 30 0.2然"	"116"	3700	2680	60	154	161	85	52	38	38	38	7	18	97	94	0	5155	17.571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	116	123	116	123	32	176	100	49
0	0	0	1	5	6	"Lg fr. 30 0.2然"	"116"	3930	2680	60	171	171	90	52	38	38	38	7	18	94	91	0	5486	19.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	133	133	133	133	32	176	100	50
0	0	0	1	6	6	"Lg fr. 30 0.2然"	"116"	4180	2710	60	168	161	73	45	39	39	39	7	17	100	97	0	5139	17.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	129	122	129	122	32	176	100	51
0	0	0	1	7	6	"Lg fr. 35 0.1然"	"132"	4450	2690	50	260	238	57	23	41	41	42	8	19	100	100	0	2851	24.500	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	219	197	219	197	12	104	100	52
0	0	0	1	8	6	"Lg fr. 35 0.1然"	"132"	4680	2710	60	96	118	66	55	49	49	48	10	20	75	66	0	3787	7.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	47	69	47	69	32	176	100	53
0	0	0	1	9	6	"Lg fr. 35 0.1然"	"132"	4910	2700	60	108	116	70	60	45	45	46	11	23	75	63	0	3703	6.364	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	63	71	63	71	32	176	100	54
0	0	0	1	1	7	"Ng fr.41 1.56然"	"115"	2960	2940	60	92	85	22	25	33	33	33	6	18	100	94	0	2711	8.667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	59	52	59	52	32	176	100	55
0	0	0	1	2	7	"Ng fr.41 1.56然"	"115"	3190	2940	60	124	110	39	35	36	36	37	7	18	94	91	0	3506	10.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	88	74	88	74	32	176	100	56
0	0	0	1	3	7	"Ng fr.41 1.56然"	"115"	3440	2940	60	121	111	35	31	39	39	40	7	17	100	94	0	3553	10.143	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	82	72	82	72	32	176	100	57
0	0	0	1	4	7	"Lg fr. 17 0.1然"	"131"	3700	2930	60	96	95	39	41	36	36	36	7	19	88	81	0	3026	8.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	60	59	60	59	32	176	100	58
0	0	0	1	5	7	"Lg fr. 17 0.1然"	"131"	3920	2940	60	87	92	44	47	39	39	39	6	15	84	81	0	2952	8.833	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	48	53	48	53	32	176	100	59
0	0	0	1	6	7	"Lg fr. 17 0.1然"	"131"	4170	2930	60	105	95	48	50	39	39	40	9	22	69	69	0	3052	6.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	66	56	66	56	32	176	100	60
0	0	0	1	7	7	"Lg fr. 21 0.9然"	"147"	4430	2930	50	85	86	23	26	40	40	42	9	21	100	83	0	1031	4.889	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	45	46	45	46	12	104	100	61
